player,class,DKP,previousDKP,lifetimeGained,lifetimeSpent
Aers,HUNTER,100,0,101,-100
Aszræl,ROGUE,101,0,101,0
Blackmerlin,MAGE,100,0,101,-100
Chelios,MAGE,100,0,100,0
Ciira,HUNTER,101,0,101,0
Designflawz,ROGUE,101,0,101,0
Droodix,DRUID,100,0,100,0
Elva,PRIEST,100,0,101,-100
Fluffers,DRUID,101,0,101,0
Furiorne,DRUID,101,0,101,0
Garixa,WARLOCK,100,0,100,0
Gnomorah,WARRIOR,101,0,101,0
Healna,DRUID,101,0,101,0
Ihealgeradon,PRIEST,101,0,101,0
Incubus,WARLOCK,101,0,101,0
Keyan,MAGE,101,0,101,0
Krissi,WARLOCK,101,0,101,0
Krocket,SHAMAN,101,0,101,0
Loriell,WARLOCK,101,0,101,0
Luremistress,MAGE,101,0,101,0
Lydraeth,WARRIOR,101,0,101,0
Nejt,SHAMAN,100,0,101,-100
Noemilein,HUNTER,101,0,101,0
Ophelius,PALADIN,100,0,101,-100
Phorus,WARRIOR,101,0,101,0
Prime,WARRIOR,101,0,101,0
Truckertony,DRUID,101,0,101,0
Velvet,PRIEST,101,0,101,0
Wichtel,WARLOCK,101,0,101,0
Wico,PALADIN,100,0,101,-20
Xaia,WARRIOR,101,0,101,0
Yaggou,HUNTER,101,0,101,0
